schema_version,external_id,question_revision,lesson_id,lesson_code,subtopic_id,subtopic_code,secondary_subtopic_ids,question_type,stem,stem_locale,option_a,option_b,option_c,option_d,option_locale,correct_option,full_explanation,explanation_a,explanation_b,explanation_c,explanation_d,explanation_locale,misconception_a_id,misconception_b_id,misconception_c_id,misconception_d_id,difficulty,difficulty_score_initial,difficulty_model_version,status,source_type,source_ref,author_id,reviewer_id,tags,media_type,media_uri,media_alt_text,media_transcript,media_source_ref,taxonomy_version,question_type_catalogue_version,compatibility_version,distractor_rules_version,content_version
question-import-schema-v0.9.0,GMP-FULL-B042-Q001,1,988143e8-7e0e-46e1-94a0-f87f7a1267f5,L10,7f509143-7930-4646-bf90-37ce52cf935d,L10-S01,,CLOZE_SINGLE,Complétez la phrase en respectant l’usage du nom de ville : « ___ accueille le congrès cette année. »,fr-FR,Le Paris,La Paris,Paris,L’Paris,fr-FR,C,Un nom de ville ordinaire comme « Paris » s’emploie ici sans article.,Incorrect : Le nom de ville « Paris » s’emploie normalement sans article.,Incorrect : Ajouter un article devant ce nom de ville régularise à tort son emploi.,Correct : Un nom de ville ordinaire comme « Paris » s’emploie ici sans article.,Incorrect : L’élision d’un article n’est pas attendue : le nom de ville reste sans article.,fr-FR,0657ea3a-7ab6-5ec2-b554-f47fd80b6e73,0657ea3a-7ab6-5ec2-b554-f47fd80b6e73,,0657ea3a-7ab6-5ec2-b554-f47fd80b6e73,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 10; printed p. 44; PDF p. 46; Stage1 L10-S01,chatgpt-qb-runner-v1.0,,TAG016,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B042-Q002,1,988143e8-7e0e-46e1-94a0-f87f7a1267f5,L10,e92221b8-33aa-4278-a380-ba4c39503dbc,L10-S02,,CLOZE_SINGLE,"Complétez : « Après ses études, elle s’installe ___ France. »",fr-FR,au,aux,à,en,fr-FR,D,"Pour un pays féminin comme la France, la leçon donne la préposition « en ».","Incorrect : « au » s’emploie avec un pays masculin dans le schéma de la leçon, pas avec la France.",Incorrect : « aux » correspond à un pays au pluriel.,"Incorrect : « à » est le choix de base pour une ville, alors qu’ici le complément est un pays féminin.","Correct : Pour un pays féminin comme la France, la leçon donne la préposition « en ».",fr-FR,be01ed44-71bb-5318-9a8b-79d2884553ef,be01ed44-71bb-5318-9a8b-79d2884553ef,481bc2c0-9438-56ce-af53-ab21a1d912b0,,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 10; printed p. 44; PDF p. 46; Stage1 L10-S02,chatgpt-qb-runner-v1.0,,TAG016,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B042-Q003,1,988143e8-7e0e-46e1-94a0-f87f7a1267f5,L10,5f70451b-f7fb-4f03-85f3-1c5ee59fbc3d,L10-S03,,CLOZE_SINGLE,"Complétez : « Après le déjeuner, Nora s’installe ___ un fauteuil pour lire. »",fr-FR,dans,sur,sous,à,fr-FR,A,La leçon oppose des combinaisons usuelles et donne « dans un fauteuil ».,Correct : La leçon oppose des combinaisons usuelles et donne « dans un fauteuil ».,"Incorrect : La combinaison enseignée est « dans un fauteuil », pas « sur un fauteuil ».",Incorrect : « sous » exprime une position inférieure et change la relation spatiale.,Incorrect : Cette combinaison fixe ne se construit pas avec « à ».,fr-FR,,467c5322-a2ba-50b8-9c2f-b595ada732ca,42ef4f6e-88f9-53ba-97d2-4a5a87feb773,467c5322-a2ba-50b8-9c2f-b595ada732ca,MEDIUM,2.1,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 10; printed p. 46; PDF p. 48; Stage1 L10-S03,chatgpt-qb-runner-v1.0,,TAG016,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B042-Q004,1,988143e8-7e0e-46e1-94a0-f87f7a1267f5,L10,5f70451b-f7fb-4f03-85f3-1c5ee59fbc3d,L10-S03,,CLOZE_SINGLE,Complétez : « J’ai vu cette annonce ___ le journal de ce matin. »,fr-FR,sur,dans,à,sous,fr-FR,B,"Dans cet emploi, le support « journal » se construit avec « dans ».",Incorrect : La leçon donne « dans le journal » pour ce support.,"Correct : Dans cet emploi, le support « journal » se construit avec « dans ».",Incorrect : « à » n’est pas la préposition retenue avec « le journal » dans cet emploi.,"Incorrect : « sous » exprimerait une position matérielle inférieure, pas la présence d’une annonce dans un journal.",fr-FR,467c5322-a2ba-50b8-9c2f-b595ada732ca,,467c5322-a2ba-50b8-9c2f-b595ada732ca,42ef4f6e-88f9-53ba-97d2-4a5a87feb773,MEDIUM,2.1,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 10; printed p. 46; PDF p. 48; Stage1 L10-S03,chatgpt-qb-runner-v1.0,,TAG016,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B042-Q005,1,988143e8-7e0e-46e1-94a0-f87f7a1267f5,L10,9a0d317d-69fe-48cb-a587-46d053de2165,L10-S04,,CLOZE_SINGLE,Une suspension est fixée au plafond et la table est plus bas. Complétez : « La suspension est ___ la table. »,fr-FR,au-dessous de,dessus,au-dessus de,dehors,fr-FR,C,"La suspension est plus haute que la table ; avec un complément, on emploie « au-dessus de ».",Incorrect : Cette option inverse la relation verticale décrite.,Incorrect : « dessus » est une forme adverbiale et ne peut pas introduire directement le complément « la table » ici.,"Correct : La suspension est plus haute que la table ; avec un complément, on emploie « au-dessus de ».",Incorrect : « dehors » oppose intérieur/extérieur et ne décrit pas une relation verticale.,fr-FR,ce3f76fb-8c2a-5652-9d94-68ed9c9b1570,56a45ed8-2e3c-5126-a25c-e98547106849,,6d173468-fd63-538b-8ac5-39ce6e549762,MEDIUM,2.1,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 10; printed p. 46; PDF p. 48; Stage1 L10-S04,chatgpt-qb-runner-v1.0,,TAG016,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B042-Q006,1,988143e8-7e0e-46e1-94a0-f87f7a1267f5,L10,7579d8b6-2928-4465-8cbd-6d0b4f7ca84a,L10-S05,,CLOZE_SINGLE,"La médiathèque se trouve à quatre kilomètres du centre, alors que la mairie est dans le centre. Complétez : « La médiathèque est ___ la mairie. »",fr-FR,près de,à côté de,loin,loin de,fr-FR,D,La distance explicitement grande impose « loin de » et la présence de « de » devant le complément.,Incorrect : Quatre kilomètres dans ce contexte contredit l’idée de proximité exprimée par « près de ».,"Incorrect : « à côté de » indique une proximité immédiate, incompatible avec la distance donnée.","Incorrect : Avec un complément nominal, « loin » doit être suivi de « de ».",Correct : La distance explicitement grande impose « loin de » et la présence de « de » devant le complément.,fr-FR,12cd4b7c-55e1-5eb0-a0af-5ac52889baf0,b858ea10-7591-56c2-82da-fff638df3c50,83d38732-3517-5fee-baf6-e39e35e3e10f,,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 10; printed p. 46; PDF p. 48; Stage1 L10-S05,chatgpt-qb-runner-v1.0,,TAG016,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B042-Q007,1,988143e8-7e0e-46e1-94a0-f87f7a1267f5,L10,7f509143-7930-4646-bf90-37ce52cf935d,L10-S01,,CLOZE_CONTEXT,"Le programme cite d’abord plusieurs pays, puis une ville ordinaire. Complétez la seconde phrase : « La dernière étape est en France. Ensuite, ___ sera notre ville de réunion. »",fr-FR,Lyon,Le Lyon,La Lyon,L’Lyon,fr-FR,A,"Même après la mention d’un pays, le nom de ville ordinaire « Lyon » reste sans article.","Correct : Même après la mention d’un pays, le nom de ville ordinaire « Lyon » reste sans article.",Incorrect : Un article est ajouté à tort devant un nom de ville ordinaire.,Incorrect : Le nom de ville n’appelle pas cet article dans l’usage ciblé.,Incorrect : L’élision n’est pas pertinente : « Lyon » reste sans article.,fr-FR,,0657ea3a-7ab6-5ec2-b554-f47fd80b6e73,0657ea3a-7ab6-5ec2-b554-f47fd80b6e73,0657ea3a-7ab6-5ec2-b554-f47fd80b6e73,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 10; printed p. 44; PDF p. 46; Stage1 L10-S01,chatgpt-qb-runner-v1.0,,TAG016,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B042-Q008,1,988143e8-7e0e-46e1-94a0-f87f7a1267f5,L10,7f509143-7930-4646-bf90-37ce52cf935d,L10-S01,,CLOZE_CONTEXT,"Le texte présente un pays comme thème général, sans préposition de lieu. Complétez : « ___ France attire de nombreux visiteurs, puis le récit se concentre sur Paris. »",fr-FR,Ø,La,Le,Les,fr-FR,B,Le pays « France » est présenté avec son article défini féminin : « la France ».,Incorrect : La leçon distingue les villes souvent sans article des pays qui se présentent généralement avec leur article.,Correct : Le pays « France » est présenté avec son article défini féminin : « la France ».,Incorrect : L’article ne correspond pas au genre du nom « France ».,"Incorrect : Le référent est singulier, pas pluriel.",fr-FR,0a789afb-97df-5312-a22c-89213fe454c5,,0a789afb-97df-5312-a22c-89213fe454c5,0a789afb-97df-5312-a22c-89213fe454c5,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 10; printed p. 44; PDF p. 46; Stage1 L10-S01,chatgpt-qb-runner-v1.0,,TAG016,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B042-Q009,1,988143e8-7e0e-46e1-94a0-f87f7a1267f5,L10,e92221b8-33aa-4278-a380-ba4c39503dbc,L10-S02,,CLOZE_CONTEXT,Maya précise qu’elle ne parle pas d’un pays mais d’une ville. Complétez : « Je travaille ___ Lyon depuis septembre. »,fr-FR,en,au,à,aux,fr-FR,C,"Pour une ville ordinaire, la préposition de lieu de base est « à ».","Incorrect : « en » serait attendu pour certains pays, pas pour une ville ordinaire.","Incorrect : « au » correspond à un type de pays, alors que Lyon est une ville.","Correct : Pour une ville ordinaire, la préposition de lieu de base est « à ».","Incorrect : « aux » concerne notamment les pays pluriels, pas une ville.",fr-FR,481bc2c0-9438-56ce-af53-ab21a1d912b0,481bc2c0-9438-56ce-af53-ab21a1d912b0,,481bc2c0-9438-56ce-af53-ab21a1d912b0,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 10; printed p. 44; PDF p. 46; Stage1 L10-S02,chatgpt-qb-runner-v1.0,,TAG016,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B042-Q010,1,988143e8-7e0e-46e1-94a0-f87f7a1267f5,L10,e92221b8-33aa-4278-a380-ba4c39503dbc,L10-S02,,CLOZE_CONTEXT,Le pays est singulier et son nom commence par une voyelle. Complétez : « Cette chercheuse vit ___ Italie. »,fr-FR,au,à,aux,en,fr-FR,D,"Pour un pays singulier commençant par une voyelle, la règle donnée conduit à « en ».",Incorrect : La règle de la leçon fait employer « en » devant un pays singulier commençant par une voyelle.,"Incorrect : « à » est le choix de base pour les villes, pas pour ce pays.",Incorrect : « aux » correspond au pluriel.,"Correct : Pour un pays singulier commençant par une voyelle, la règle donnée conduit à « en ».",fr-FR,972d52e9-842f-533b-83a9-7cf984d80baf,481bc2c0-9438-56ce-af53-ab21a1d912b0,be01ed44-71bb-5318-9a8b-79d2884553ef,,MEDIUM,2.1,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 10; printed p. 44; PDF p. 46; Stage1 L10-S02,chatgpt-qb-runner-v1.0,,TAG016,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
